finding_id,study_doi,compound,entity_label,domain,evidence_type,entity_role,support,outcome_measure,population,study_design,graph_admission_status,kg_entity_kind_override,paper_type,endpoint_label_source,graph_overview_subjects_json,graph_parent_label,proposition_group_id,assessment,matching_edge_in_active_bootstrap,category,proposed_destination,rationale,assessment_basis,rules
finding:60a87281875e7bae7e,10.1038/s41398-026-04032-3,S-ketamine,Suicidality,clinical_outcome,primary_evidence,therapeutic_indication,Esketamine use was associated with a sustained lower risk of suicide-related events over a 2-year follow-up period.,"Composite of suicide-related events (suicidal ideation, suicide attempt, and intentional self-harm)",Adults with MDD requiring inpatient care,Target trial simulation using real-world data (propensity-score matched),main_graph,condition_indication,primary_study,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:3388607a93abd85284,not_confirmed_by_this_audit,True,,,,,
finding:fb6be64d3bd3436141,10.1007/s40261-022-01193-z,S-ketamine,Suicidality,clinical_outcome,primary_evidence,therapeutic_indication,"Repeated subcutaneous esketamine administration significantly reduced suicidality scores in patients with MDD and bipolar depression, with rapid onset observed 24 hours after the first dose and further reduction with repeated dosing.",Montgomery-Åsberg Depression Rating Scale (MADRS) item 10,Acutely depressed subjects diagnosed with resistant major depressive disorder or bipolar depression,Real-world study (repeated administration),main_graph,condition_indication,primary_study,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:0cee7fa88016780641,not_confirmed_by_this_audit,True,,,,,
finding:f6aa46ac2ad65150c0,10.1007/s40473-019-00184-3,Ketamine,Suicidality,clinical_outcome,secondary_literature,therapeutic_indication,"There is a lack of robust evidence regarding ketamine's effect on actual suicidal behaviors and attempts, as most research focuses on suicidal ideation scores.",suicidal behavior,,,main_graph,condition_indication,review,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:af2cb47a956a012fc1,not_confirmed_by_this_audit,True,,,,,
finding:f90f417d2246b7448b,10.1016/j.eclinm.2025.103748,S-ketamine,Suicidality,clinical_outcome,secondary_literature,therapeutic_indication,Intravenous and subcutaneous esketamine and ketamine induce rapid reduction of acute suicidal ideation within 24 hours in adolescents with major depressive disorder.,,,,main_graph,condition_indication,systematic_review,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:3dfc22d37e9dd59e39,not_confirmed_by_this_audit,True,,,,,
finding:c216d895d992f11be3,10.1016/j.psycr.2023.100118,Psilocybin,Suicidality,clinical_outcome,primary_evidence,therapeutic_indication,"A 30-year-old male with no prior psychiatric history attempted suicide by stabbing himself in the neck following recreational ingestion of psilocybin-laced chocolate, characterized as a substance-induced presentation with observed paranoia.",Clinical evaluation and emergency presentation,30-year-old male with no past psychiatric history,Case report,main_graph,condition_indication,primary_study,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""Psilocybin"", ""reason"": ""controlled_atomic_compound""}]",,proposition:c16f0adfaaf2e8e448,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:08b92232ca145b11f8,10.1016/j.psyche.2026.100023,Ayahuasca,Suicidality,clinical_outcome,primary_evidence,therapeutic_indication,Participants reported that ceremonial ayahuasca use influenced the reduction of suicidal ideation and behavior and strengthened psychological well-being.,In-depth qualitative interviews,Participants from North and Southeast regions of Brazil with a history of suicidal ideation or behavior,Exploratory qualitative study,main_graph,condition_indication,primary_study,clinical_condition_endpoint,"[{""aliases"": [""DMT/HAR formulation""], ""kind"": ""compound_combination"", ""label"": ""Ayahuasca"", ""reason"": ""controlled_registered_exposure_kind""}]",,proposition:fa9d41a5d6d645a90e,not_confirmed_by_this_audit,True,,,,,
finding:39bd4a4af6f50f5090,10.3389/fanes.2022.1041959,Ketamine,Suicidality,clinical_outcome,primary_evidence,therapeutic_indication,Ketamine use during surgery was associated with a significantly higher risk of suicidal or homicidal ideation in the 30-day postoperative period.,ICD-10: R45.85,Patients undergoing orthopedic surgery,Retrospective cohort study using TriNetX database,main_graph,condition_indication,primary_study,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:6e3635dedfa67fce63,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:1b75f7871de8bef77a,10.1097/00006565-200010000-00022,MDMA,Suicidality,clinical_outcome,primary_evidence,therapeutic_indication,"Chronic Ecstasy use can result in psychosis, depression, and suicidal ideation.",Clinical observation,Chronic users,Case Reports,main_graph,condition_indication,primary_study,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""MDMA"", ""reason"": ""controlled_atomic_compound""}]",,proposition:53973da63ecd19f98f,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:8e27aae18f82456f45,10.7860/jcdr/2018/35217.11821,MDMA,Suicidality,clinical_outcome,primary_evidence,therapeutic_indication,The patient developed severe depressive symptoms and suicidal ideation following MDMA-induced delirium and psychosis.,Clinical assessment,21-year-old male engineering student,Case report,main_graph,condition_indication,primary_study,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""MDMA"", ""reason"": ""controlled_atomic_compound""}]",,proposition:50560e602241a57c6f,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:37c577e5bad6a0ea8f,10.1556/2054.2024.00363,Psilocybin,Suicidality,clinical_outcome,primary_evidence,therapeutic_indication,"Participant 'Annie' recovered repressed memories of childhood sexual abuse during an 11g psilocybin session, leading to a re-narration of her identity, self-compassion, and resolution of lifelong struggles with weight and suicidal depression.",Qualitative narrative interview,40-year-old woman with treatment-resistant depression and history of childhood trauma,Qualitative case study (part of a larger sociological study),main_graph,condition_indication,primary_study,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""Psilocybin"", ""reason"": ""controlled_atomic_compound""}]",,proposition:caeac4ae1c4f8b91e3,not_confirmed_by_this_audit,True,,,,,
finding:1dad20623491e70650,10.2174/2211556008666190827150018,Ketamine,Suicidality,clinical_outcome,secondary_literature,therapeutic_indication,"Low-dose ketamine induces rapid, short-lived anti-suicide and anti-depressant effects in treatment-resistant major depression.",,,,main_graph,condition_indication,review,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:8dfa1d647afbd05f83,not_confirmed_by_this_audit,True,,,,,
finding:1f9c2dd80789d49fb7,10.3390/psychoactives3030021,Ketamine,Suicidality,clinical_outcome,secondary_literature,therapeutic_indication,"Clinical use of intravenous racemic ketamine is effective in reducing suicidal thoughts and behaviors, particularly within the first 72 hours.",Suicidal Behavior,,,main_graph,condition_indication,narrative_review,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:05f215247655a9cac5,not_confirmed_by_this_audit,True,,,,,
finding:02328bcfb63d9e1ee7,10.3390/psychoactives3030021,MDMA,Suicidality,clinical_outcome,secondary_literature,therapeutic_indication,The relationship between MDMA or LSD use and suicidal behavior remains inconclusive due to scarce and contradictory evidence.,Suicidal Behavior,,,main_graph,condition_indication,narrative_review,clinical_condition_endpoint,"[{""kind"": ""atomic_compound"", ""label"": ""MDMA"", ""reason"": ""controlled_atomic_compound""}]",,proposition:015b64686b6ec60cae,not_confirmed_by_this_audit,True,,,,,
finding:382bf2603d7f1c0b07,10.1159/000467984,LSD,Distress associated with life-threatening disease,clinical_outcome,primary_evidence,,"Significant improvement was observed in all measured parameters (depression, anxiety, fear of death, pain) following LSD-assisted psychotherapy, with approximately 71% of patients showing moderate to dramatic improvement.","Rating scale (depression, psychological isolation, anxiety, difficulty in management, fear of death, and pain)",Patients with terminal cancer,Experimental clinical study (pre-post comparison),main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""LSD"", ""reason"": ""controlled_atomic_compound""}]",,proposition:cc0112b8e29ddf8592,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:0655fde85eadd4467b,10.1097/yct.0000000000001103,S-ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,"Depression severity remained stable or improved in five patients, while three patients experienced worsening symptoms and resumed M-ECT. All five patients with available OQ-45 scores showed improvement.","Inventory of Depressive Symptomatology - Self-rated (IDS-SR), Hamilton Depression Rating Scale - 17 items (HDRS-17), and Outcome Questionnaire 45 (OQ-45)",Treatment-resistant depression (TRD) patients receiving maintenance electroconvulsive therapy (M-ECT),Case series,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:c17fe73975f8f02dae,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:3a5468bdfd24fd78bb,10.1007/s40263-020-00699-4,S-ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,"Adverse events related to abnormal heart rate (e.g., tachycardia, palpitations) were reported more frequently with esketamine than placebo, though the difference was not statistically significant.",Heart rate monitoring,Treatment-resistant depression (TRD),"Pooled analysis of five double-blind, placebo-controlled trials and one open-label trial",main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""focal_compound_with_exposure_detail""}]",,proposition:7cbbd373ba06307d9c,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety; cognitive findings may also support Cognition,"The reported endpoint is adverse events, safety/tolerability, risk, or absence of harm. A patient diagnosis or treatment setting has been promoted as the outcome. Preserve null safety results and distinguish transient effects from clinical harm.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,['condition_safety']
finding:cb5ea17bc2d9f2b285,10.3389/fpsyt.2023.1221131,Psilocybin,Attention-deficit/hyperactivity disorder,clinical_outcome,primary_evidence,,"A 21-year-old male with bipolar II disorder developed a severe manic episode with psychosis and high-risk behaviors (e.g., driving >135 mph, running on freeway) two days after using psilocybin mushrooms, requiring a three-week hospitalization.",Clinical psychiatric assessment (DSM-5 criteria),21-year-old male with bipolar II disorder and ADHD,case report,main_graph,condition_indication,primary_study,condition_text_split,"[{""kind"": ""atomic_compound"", ""label"": ""Psilocybin"", ""reason"": ""controlled_atomic_compound""}]",,proposition:3e55fb75ae91c55eea,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety; cognitive findings may also support Cognition,"The reported endpoint is adverse events, safety/tolerability, risk, or absence of harm. A patient diagnosis or treatment setting has been promoted as the outcome. Preserve null safety results and distinguish transient effects from clinical harm.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,['condition_safety']
finding:8ca880539c9460c090,10.3389/fpsyt.2023.1221131,Psilocybin,Bipolar II disorder,clinical_outcome,primary_evidence,,"A 21-year-old male with bipolar II disorder developed a severe manic episode with psychosis and high-risk behaviors (e.g., driving >135 mph, running on freeway) two days after using psilocybin mushrooms, requiring a three-week hospitalization.",Clinical psychiatric assessment (DSM-5 criteria),21-year-old male with bipolar II disorder and ADHD,case report,main_graph,condition_indication,primary_study,condition_text_split,"[{""kind"": ""atomic_compound"", ""label"": ""Psilocybin"", ""reason"": ""controlled_atomic_compound""}]",,proposition:ff8e0ef547cfe21710,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety; cognitive findings may also support Cognition,"The reported endpoint is adverse events, safety/tolerability, risk, or absence of harm. A patient diagnosis or treatment setting has been promoted as the outcome. Preserve null safety results and distinguish transient effects from clinical harm.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,['condition_safety']
finding:1b54a9acc002541106,10.1016/j.jpsychires.2020.06.012,Dissociatives,Treatment-resistant depression,clinical_outcome,primary_evidence,,The dissociative side effect of 'floating' did not significantly mediate or predict the antidepressant response to ketamine at either 230 minutes or Day 1.,Montgomery-Asberg Depression Rating Scale (MADRS),treatment-resistant depression (TRD) including major depressive disorder (MDD) and bipolar depression (BD),"pooled analysis of three double-blind, crossover, placebo-controlled randomized clinical trials",main_graph,condition_indication,primary_study,condition_text_split,"[{""kind"": ""compound_class"", ""label"": ""Dissociatives"", ""reason"": ""controlled_compound_class""}]",,proposition:65b14cadf96e0f0c97,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:d016fbebd85cdcde83,10.1016/j.jpsychires.2020.06.012,Dissociatives,Bipolar depression,clinical_outcome,primary_evidence,,The dissociative side effect of 'floating' did not significantly mediate or predict the antidepressant response to ketamine at either 230 minutes or Day 1.,Montgomery-Asberg Depression Rating Scale (MADRS),treatment-resistant depression (TRD) including major depressive disorder (MDD) and bipolar depression (BD),"pooled analysis of three double-blind, crossover, placebo-controlled randomized clinical trials",main_graph,condition_indication,primary_study,condition_text_split,"[{""kind"": ""compound_class"", ""label"": ""Dissociatives"", ""reason"": ""controlled_compound_class""}]",,proposition:5081050b2a74bdcf53,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:8f5a92e1e90df0765f,10.3389/fpain.2023.1256396,Ibogaine,Neuropathic pain,clinical_outcome,primary_evidence,,Daily outpatient low-dose ibogaine sustained significant pain reduction and improved pain tolerability over a 2-month period following saturation.,"Average across subjective pain measures (DN4, NPSI, NPQ, NPS, painDETECT)",53-year-old male with severe intractable neuropathic pain due to brachial plexus nerve root avulsion,Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ibogaine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:a4e77b09b0b1a11ebc,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:6a85536461add2e55d,10.3390/medicina60060936,Ketamine,Bipolar depression,clinical_outcome,primary_evidence,,"The patient experienced a worsening of symptoms toward the end of the ketamine course, reporting more bad days than good days and deciding to discontinue treatment due to lack of sufficient efficacy.",QIDS-16-SR,Treatment-resistant bipolar depression (TRBPD),Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:6caa04074726cf5166,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:f6b06dcfcc088666b7,10.1192/bjo.2019.52,Ketamine,Substance use disorder,clinical_outcome,primary_evidence,,"Most participants were willing to accept potential side-effect risks (e.g., bladder issues) to alleviate depressive symptoms, improve daily life functioning, and rekindle relationships.",Qualitative focus group themes,"Patients with experience of depression, carers, and people with experience of addiction",Mixed-methods study (focus groups and online survey),main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:bea9cbd10dbf377fd4,high_confidence_semantic_misclassification,True,intervention_context_in_conditions,Intervention context / Real-world attitudes,"Finding concerns acceptability, preferences, treatment preparation or willingness to participate rather than treatment efficacy.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,['condition_safety']
finding:ec65cd6ce585e138d0,10.1080/02791072.2017.1344898,DMT,Bipolar depression,clinical_outcome,primary_evidence,,"A physician attempting to self-medicate refractory bipolar depression with chronic DMT and phenelzine presented with altered mental status, mania, and psychosis.","clinical presentation (altered mental status, mania, and psychosis)",refractory bipolar depression,case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""DMT"", ""reason"": ""controlled_atomic_compound""}]",,proposition:3f753141f37e35f311,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety; cognitive findings may also support Cognition,"The reported endpoint is adverse events, safety/tolerability, risk, or absence of harm. A patient diagnosis or treatment setting has been promoted as the outcome. Preserve null safety results and distinguish transient effects from clinical harm.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,['condition_safety']
finding:93ee60c0947e58aca4,10.3390/ph18020173,S-ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,"Long-term adjunct esketamine treatment was associated with improvements in attention, memory, and executive functions (working memory, set-shifting, and inhibitory control) without any cognitive worsening.","Neuropsychological battery (TMT-A, RAVLT, Logical Memory II, Digit Span Backward, Stroop Color, WCST)",Treatment-resistant depression (TRD),Open-label longitudinal study,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:d461b0f2696477cb23,high_confidence_semantic_misclassification,True,mechanism_in_conditions,"Cognition, Brain or Molecular effects according to measured endpoint","The measured finding is cognition, brain activity/connectivity, neurotransmitter metabolism or endogenous analyte levels; diagnosis is population context.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,['condition_safety']
finding:22e52538ae8e943c57,10.1186/s13256-023-04158-8,Ketamine,Developmental stuttering,clinical_outcome,primary_evidence,,"The patient experienced an almost immediate resolution of lifelong stuttering within 24 hours of starting low-dose ketamine for depression. This effect was maintained until her death one month later, with only limited breakthrough repetitions and no speech blocks.",Clinical observation and family report of speech fluency,60-year-old white non-Hispanic woman with lifelong developmental stuttering and depression,Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:004d57ab910762d59a,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:4485312e9e073c7ca8,10.3389/fpsyt.2025.1648104,Ketamine,Substance use disorder,clinical_outcome,primary_evidence,,Psychedelic-only use was associated with a 24% lower rate of SUD-related hospitalizations or ED visits compared to no treatment.,SUD-related hospitalizations or emergency department (ED) visits,Patients with substance use disorders (SUD),Retrospective cohort study using propensity score-weighted quasi-Poisson regression,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""predominant_or_specific_therapy_compound_recovered_from_class_text""}]",,proposition:b753b4228741380899,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:1be5ab0b4c194b9dc6,10.1089/jpm.2022.0430,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,"A single low-dose intravenous racemic ketamine infusion reduced symptoms of depression and end-of-life suffering in a patient with end-stage heart failure, despite theoretical contraindications due to sympathomimetic effects.",,End-stage heart failure patient enrolled in hospice care with severe treatment-resistant depression,Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:e7441098c945b44455,not_confirmed_by_this_audit,True,,,,,['condition_context']
finding:ccb85ff881d4385169,10.1016/0893-133x(94)00131-i,Ketamine,Schizophrenia,clinical_outcome,primary_evidence,,"Ketamine induced a dose-related, short-term worsening in mental status, specifically increasing positive symptoms (hallucinations, delusions, thought disorder) reminiscent of active illness episodes.",Brief Psychiatric Rating Scale (BPRS) total score,Schizophrenia,"Double-blind, placebo-controlled trial",main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:de2703c7b9e31f5822,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety; cognitive findings may also support Cognition,"The reported endpoint is adverse events, safety/tolerability, risk, or absence of harm. A patient diagnosis or treatment setting has been promoted as the outcome. Preserve null safety results and distinguish transient effects from clinical harm.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,['condition_safety']
finding:2e21bce2fc9edcabe9,10.1016/j.eclinm.2025.103692,Psilocybin,Post-traumatic stress disorder,clinical_outcome,primary_evidence,,"The study was completed without serious adverse events or patient dropouts, supporting the safety and tolerability of the 25 mg dose in this population.",Safety and tolerability monitoring,Adults with PTSD secondary to a traumatic event experienced in adulthood,Phase 2 open-label trial,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Psilocybin"", ""reason"": ""controlled_atomic_compound""}]",,proposition:b598c35d27e66a22c7,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety; cognitive findings may also support Cognition,"The reported endpoint is adverse events, safety/tolerability, risk, or absence of harm. A patient diagnosis or treatment setting has been promoted as the outcome. Preserve null safety results and distinguish transient effects from clinical harm.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,['condition_safety']
finding:c31161c2341a07540c,10.1016/s0022-3565(24)38236-9,Ketamine,Neuropathic pain,clinical_outcome,primary_evidence,,A subgroup of patients experienced a long-term (6-24 h) analgesic effect from i.m. ketamine that was partly dissociated from mental side effects.,Self-reported pain reduction,Patients with neuropathic pain in the trigeminal area,Randomized Controlled Trial,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""focal_compound_with_exposure_detail""}]",,proposition:ec28844fce0713f9f5,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:2e679c4c896c619be4,10.1016/j.jad.2022.08.047,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,"Ketamine treatment was associated with improvements in functional impairment, anhedonia, and psychiatric symptoms, with no increases in manic symptoms.",,unipolar treatment-resistant depression (TRD),open label study,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:af3159951d1ad1bb95,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:29258d80dc4e789759,10.1111/acps.12572,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,The subcutaneous (SC) route resulted in comparable antidepressant effects to IV and IM routes but with the fewest adverse effects.,mood and adverse effects,treatment-refractory depressed participants,"multiple crossover, double-blind pilot trial",main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:a390a409a648e4e69f,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:f2e7e022d049f29e70,10.3389/fpsyt.2023.1197697,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,The ASC subscale for Anxiety was significantly associated with an impairment (worsening) in depressive symptoms.,5D-ASC (Anxiety subscale) and BDI-II,62-year-old male with treatment-resistant depression and recurrent mixed anxiety and depressive disorder,Single-case study (personalized-dosing),main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:1eda71d0158d0f4dae,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:e30c091a71bfa0d7fd,10.3389/fpsyt.2021.705190,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,Three out of five patients achieved remission after a second series of eight ketamine infusions following a relapse or worsening of symptoms.,Montgomery Åsberg Depression Rating Scale (MADRS),Treatment-resistant depression (TRD) in MDD and bipolar disorder type I,Naturalistic case series,main_graph,condition_indication,primary_study,condition_text_split,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:31ce0d6fcc415590e1,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:fc660539c5a8ebed5a,10.3389/fpsyt.2021.705190,Ketamine,Bipolar disorder,clinical_outcome,primary_evidence,,Three out of five patients achieved remission after a second series of eight ketamine infusions following a relapse or worsening of symptoms.,Montgomery Åsberg Depression Rating Scale (MADRS),Treatment-resistant depression (TRD) in MDD and bipolar disorder type I,Naturalistic case series,main_graph,condition_indication,primary_study,condition_text_split,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:96c146231b977ffc94,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:ad1bb77628bd2a1ff1,10.1016/j.jad.2025.121132,S-ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,Esketamine was associated with a higher risk of hospitalization compared to rTMS.,Hazard Ratio (HR) for hospitalization,Adults aged 18-65 years with treatment-resistant depression (TRD),Target trial emulation (cohort study with propensity score matching),main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:53618054f69f32032e,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:19b5afbff3f8107b50,10.1002/jcph.1920,Ketamine,Migraine,clinical_outcome,primary_evidence,,Continuous ketamine infusion significantly reduced pain intensity in patients with refractory chronic migraine by the end of a 5-day hospitalization.,0-10 Numeric Rating Scale (NRS) for pain,Refractory chronic migraine,"Prospective, open-label, observational pilot study",main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:6b3ad96d3cc837c2b1,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:8b512730a0984c05a8,10.1089/jpm.2024.0277,Psilocybin,Distress associated with life-threatening disease,clinical_outcome,primary_evidence,,Psilocybin-assisted therapy was effective in partially alleviating the patient's existential distress without adverse events.,Clinical observation of existential distress,Patient with stage 4 astrocytoma (brain cancer) and end-of-life distress,Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Psilocybin"", ""reason"": ""controlled_atomic_compound""}]",,proposition:df8d6f55f39e851c03,not_confirmed_by_this_audit,True,,,,,['condition_safety']
finding:5bbd20a26ae79f2658,10.1007/s00406-011-0205-7,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,"The ketamine group had significantly higher MMSE scores post-treatment, suggesting fewer cognitive side effects compared to the thiopental group.",Mini-Mental State Examination (MMSE),patients receiving electroconvulsive therapy (ECT),retrospective chart review,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:67eb6f255aa878befb,high_confidence_semantic_misclassification,True,mechanism_in_conditions,"Cognition, Brain or Molecular effects according to measured endpoint","The measured finding is cognition, brain activity/connectivity, neurotransmitter metabolism or endogenous analyte levels; diagnosis is population context.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,['condition_safety']
finding:4e4137ad0e04f7bca5,10.3389/fpsyt.2022.948115,S-ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,"Inadequate preparation and the framing of psychoactive effects as 'side effects' led to patients feeling caught off guard and anxious during sessions, negatively impacting their ability to engage with the treatment.",In-depth interviews,Adults with TRD,Qualitative study using Interpretative Phenomenological Analysis (IPA),main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:72e8ae76751bac6428,high_confidence_semantic_misclassification,True,intervention_context_in_conditions,Intervention context / Real-world attitudes,"Finding concerns acceptability, preferences, treatment preparation or willingness to participate rather than treatment efficacy.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,['condition_safety']
