normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,outcome_measure_normalized,population,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,source_access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,language,sample_size_total,comparator,intervention_or_exposure,dose,route,session_count_or_duration,timepoint,effect_size,p_value,confidence_interval,adverse_events,evidence_level,compound_match_type,entity_match_type,compound_registry_status,entity_registry_status,compound_ids,entity_ids,trial_registry_ids,related_dois,publication_relations,is_retracted,semantic_scholar_id,has_correction
normalized,compound and graph entity matched local registry,Ketamine,,Major depressive disorder,Ketamine,Major depressive disorder,Ketamine,,Major depressive disorder,Major depressive disorder,trastorno depresivo mayor,therapeutic_indication,Major depressive disorder,indication,True,10.17579/abstractbookdualdisorders-p-284,USO DE KETAMINA IV PARA REDUCIR EL USO DE OPIOIDES EN SÍNDROME DEL MIEMBRO FANTASMA: REVISIÓN A PROPÓSITO DE UN CASO,compound_disorder,"el paciente desarrolló un trastorno adaptativo reactivo al dolor y la limitación funcional que evolucionó hasta cumplir criterios de trastorno depresivo mayor... Dado el mal control de la sintomatología depresiva grave asociada, se inicia de forma ambulatoria con esketamina intranasal, hasta cuatro viales/día, que tampoco resulta efectivo. Se propone entonces iniciar ketamina IV...",not_applicable,Symptom reduction,Mood,positive,Depressive symptoms,,,clinical,Poorvanshi Alag; Ediz Eypolu; Propsito De; Un Caso; Garcia Rodriguez; Teresa Burguete-Uriol; Eva Faure; Sira Diaz Moran; Nuria Planet; Manuela Rubio,2024,case_report,doi,case_report,original_empirical,primary_evidence,uncertain,supported,0.8,False,"Dado el mal control de la sintomatología depresiva grave asociada, se inicia de forma ambulatoria con esketamina intranasal, hasta cuatro viales/día, que tampoco resulta efectivo. Se propone entonces iniciar ketamina IV, que el paciente había probado en un seguimiento previo, con respuesta parcial... Se presenta también una revisión narrativa abreviada sobre el uso de ketamina IV para dolor crónico (y reducción de uso de opioides) y depresión, pudiendo ser una opción en pacientes con concomitancia de TUS, trastorno depresivo y dolor crónico.",full_text_seen,full_text_seen,text,C151,case_report,,,,Projected from extraction_v1; support=supported; confidence=0.8; needs_human_review=False,Dual Disorders Abstracts Book,article,2024-01-01,,,SEPD/WADD,,Medicine | Humanities | Philosophy,,,es,,,once infusiones de ketamina,"dosis creciente hasta alcanzar 200 mg (1,67 mg/kg)",IV,,,,,,,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,S-ketamine,,Major depressive disorder,S-ketamine,Major depressive disorder,Esketamine,,Major depressive disorder,Major depressive disorder,sintomatología depresiva grave,therapeutic_indication,Major depressive disorder,indication,True,10.17579/abstractbookdualdisorders-p-284,USO DE KETAMINA IV PARA REDUCIR EL USO DE OPIOIDES EN SÍNDROME DEL MIEMBRO FANTASMA: REVISIÓN A PROPÓSITO DE UN CASO,compound_disorder,el paciente desarrolló un trastorno adaptativo reactivo al dolor y la limitación funcional que evolucionó hasta cumplir criterios de trastorno depresivo mayor.,not_applicable,Symptom reduction,Mood,negative,Depressive symptoms,,,clinical,Poorvanshi Alag; Ediz Eypolu; Propsito De; Un Caso; Garcia Rodriguez; Teresa Burguete-Uriol; Eva Faure; Sira Diaz Moran; Nuria Planet; Manuela Rubio,2024,case_report,doi,case_report,original_empirical,primary_evidence,uncertain,not_supported,0.9,False,"Dado el mal control de la sintomatología depresiva grave asociada, se inicia de forma ambulatoria con esketamina intranasal, hasta cuatro viales/día, que tampoco resulta efectivo.",full_text_seen,full_text_seen,text,C151,case_report,,,,Projected from extraction_v1; support=not_supported; confidence=0.9; needs_human_review=False,Dual Disorders Abstracts Book,article,2024-01-01,,,SEPD/WADD,,Medicine | Humanities | Philosophy,,,es,,,esketamina intranasal,hasta cuatro viales/día,intranasal,,,,,,,low,alias,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Treatment-resistant depression,Psilocybin,Treatment-resistant depression,psilocybin,,treatment-resistant depression,treatment-resistant depression,eight (67%) of the 12 patients achieved complete remission at 1 week,therapeutic_indication,Treatment-resistant depression,indication,True,10.1016/s2215-0366(16)30065-7,Psilocybin with psychological support for treatment-resistant depression: an open-label feasibility study,compound_disorder,unipolar treatment-resistant major depression,not_applicable,efficacy,depression,positive,complete remission (BDI score ≤9),BDI,"12 patients with moderate-to-severe, unipolar, treatment-resistant major depression",clinical,Robin L Carhart-Harris; Mark Bolstridge; James Rucker; Camilla M J Day; David Erritzoe; Mendel Kaelen; Michael Bloomfield; James A Rickard; Ben Forbes; Amanda Feilding,2016,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"According to standard criteria for determining remission (eg, a score of ≤9 on the BDI), eight (67%) of the 12 patients achieved complete remission at 1 week",full_text_seen,full_text_seen,text,C013,open-label feasibility trial,Medical Research Council,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,The Lancet Psychiatry,journal-article,2016-05-17,2215-0366,2215-0374,Elsevier BV,"Adult | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / psychology | Feasibility Studies | Female | Humans | Male | Middle Aged | Psilocybin / adverse effects | Psilocybin / therapeutic use | Serotonin Receptor Agonists / therapeutic use | Social Support | Treatment Outcome",,Medical Research Council,MR/J00460X/1,eng,12,no control group,psilocybin with psychological support,10 mg and 25 mg,oral,"two oral doses (10 mg and 25 mg, 7 days apart)",1 week,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},ISRCTN14426797,10.1016/S2215-0366(16)30087-6 | 10.1016/S2215-0366(16)30103-1 | 10.1016/S2215-0366(16)30214-0,CommentIn PMID:27210032 Lancet Psychiatry. 2016 Jul;3(7):592-3. doi: 10.1016/S2215-0366(16)30087-6. | CommentIn PMID:27568263 Lancet Psychiatry. 2016 Sep;3(9):805-6. doi: 10.1016/S2215-0366(16)30103-1. | CommentIn PMID:27568265 Lancet Psychiatry. 2016 Sep;3(9):806-7. doi: 10.1016/S2215-0366(16)30214-0.,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Treatment-resistant depression,Psilocybin,Treatment-resistant depression,psilocybin,,treatment-resistant depression,treatment-resistant depression,five of these (42%) still in complete remission,therapeutic_indication,Treatment-resistant depression,indication,True,10.1016/s2215-0366(16)30065-7,Psilocybin with psychological support for treatment-resistant depression: an open-label feasibility study,compound_disorder,unipolar treatment-resistant major depression,not_applicable,efficacy,depression,positive,complete remission (BDI score ≤9),BDI,"12 patients with moderate-to-severe, unipolar, treatment-resistant major depression",clinical,Robin L Carhart-Harris; Mark Bolstridge; James Rucker; Camilla M J Day; David Erritzoe; Mendel Kaelen; Michael Bloomfield; James A Rickard; Ben Forbes; Amanda Feilding,2016,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"seven patients (58%) continued to meet criteria for response (50% reduction in BDI score relative to baseline) at 3 months, with five of these (42%) still in complete remission (figure 4, table 3 ).",full_text_seen,full_text_seen,text,C013,open-label feasibility trial,Medical Research Council,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,The Lancet Psychiatry,journal-article,2016-05-17,2215-0366,2215-0374,Elsevier BV,"Adult | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / psychology | Feasibility Studies | Female | Humans | Male | Middle Aged | Psilocybin / adverse effects | Psilocybin / therapeutic use | Serotonin Receptor Agonists / therapeutic use | Social Support | Treatment Outcome",,Medical Research Council,MR/J00460X/1,eng,12,no control group,psilocybin with psychological support,10 mg and 25 mg,oral,"two oral doses (10 mg and 25 mg, 7 days apart)",3 months,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},ISRCTN14426797,10.1016/S2215-0366(16)30087-6 | 10.1016/S2215-0366(16)30103-1 | 10.1016/S2215-0366(16)30214-0,CommentIn PMID:27210032 Lancet Psychiatry. 2016 Jul;3(7):592-3. doi: 10.1016/S2215-0366(16)30087-6. | CommentIn PMID:27568263 Lancet Psychiatry. 2016 Sep;3(9):805-6. doi: 10.1016/S2215-0366(16)30103-1. | CommentIn PMID:27568265 Lancet Psychiatry. 2016 Sep;3(9):806-7. doi: 10.1016/S2215-0366(16)30214-0.,,,
normalized,compound and graph entity matched local registry,Ketamine,,Major depressive disorder,Ketamine,Major depressive disorder,Ketamine,,Major Depressive Disorder,Major Depressive Disorder,antidepressant-like effects,therapeutic_indication,Major depressive disorder,indication,True,10.1038/mp.2013.130,Lanicemine: a low-trapping NMDA channel blocker produces sustained antidepressant efficacy with minimal psychotomimetic adverse effects,compound_disorder,treatment-refractory depressed patients,not_applicable,efficacy,depressive symptoms,positive,antidepressant-like effects,,rodent models and treatment-refractory depressed patients,clinical,Gerard Sanacora; Mark A. Smith; Sanjeev Pathak; H-L Su; Peter H. Boeijinga; Dennis J. McCarthy; Michael C. Quirk,2013,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"Ketamine, an N-methyl-D-aspartate receptor (NMDAR) channel blocker, has been found to induce rapid and robust antidepressant-like effects in rodent models and in treatment-refractory depressed patients.",full_text_seen,full_text_seen,abstract,Abstract,"Randomized Controlled Trial, Cross-Over Study (Phase I/II)",NCATS NIH HHS,"Sanacora has received consulting fees from Abbott, AstraZeneca, Bristol-Myers Squibb, Evotec, Eli Lilly & Co, Hoffman La-Roche, Johnson & Johnson, Novartis and Noven Pharmaceuticals; and grant support from AstraZeneca, Bristol-Myers Squibb, Hoffman La-Roche, Merck & Co and Sepracor. In addition, he is a co-inventor on a filed patent application by Yale University (PCTWO06108055A1). Mark A Smith was an AstraZeneca employee at the time this work was conducted and is currently at Shire Pharmaceuticals. He owns stock in AstraZeneca. Sanjeev Pathak is a full-time AstraZeneca employee and he holds stock in AstraZeneca. Hong-Lin Su is a full-time AstraZeneca employee and he holds stock in AstraZeneca. Peter H Boeijinga was a FORENAP employee at the time this work was conducted. Dennis J McCarthy is a fulltime AstraZeneca employee and he holds stock in AstraZeneca. Michael Quirk is a full-time AstraZeneca employee and he holds stock in AstraZeneca.",,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Molecular psychiatry,"Clinical Trial, Phase I | Clinical Trial, Phase II | Journal Article | Randomized Controlled Trial | Research Support, Non-U.S. Gov't",2013-10-15,1359-4184,1476-5578,,"Adult | Aged | Animals | Antidepressive Agents / adverse effects | Antidepressive Agents / pharmacology | Brain / drug effects | Brain / physiopathology | Cross-Over Studies | Major Depressive Disorder / drug therapy | Depressive Disorder, Treatment-Resistant / drug therapy | Double-Blind Method | Electroencephalography | Female | Humans | Ketamine / pharmacology | Male | Middle Aged | Phenethylamines / adverse effects | Phenethylamines / pharmacology | Psychiatric Status Rating Scales | Pyridines / adverse effects | Pyridines / pharmacology | Rats, Sprague-Dawley | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / metabolism | Treatment Outcome | Young Adult",,NCATS NIH HHS,UL1 TR000142,eng,not_reported,not_reported,ketamine,not_reported,not_reported,not_reported,rapid,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},NCT00491686 | NCT00781742 | NCT01130909,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Treatment-resistant depression,Ketamine,Treatment-resistant depression,Ketamine,,Treatment-resistant depression,Treatment-resistant depression,depressive symptoms,symptom_or_problem,Treatment-resistant depression,indication,True,10.1038/s41398-026-03928-4,Modulatory effects of ketamine on EEG source-based resting state connectivity in treatment resistant depression.,compound_disorder,Treatment-resistant depression,not_applicable,Clinical symptom reduction,Depression,positive,"Hamilton Depression Rating Scale (HAMD), Quick Inventory of Depression Scale (QIDS)",HAM-D; QIDS,24 participants with Treatment-resistant depression (TRD),clinical,Lees T; Scott JN Jr; Boyle BW; Esfand SM; Linton SR; Miller C; Li M; Woronko SE; Dunayev R; Bogdanov M,2026,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Twenty-four hours post-infusion, depressive, anhedonic, and ruminative symptoms for the TRD sample were significantly reduced. ... depressive symptoms of individuals with TRD significantly decreased between sessions when assessed by the HAMD (15.58 ± 4.96 vs. 11.48 ± 5.70; t = -2.754, p = 0.012) and the QIDS (13.86 ± 4.29 vs. 9.68 ± 4.76; t = -2.799, p = 0.011).",full_text_seen,full_text_seen,abstract,"Abstract, C011, Table 1",Interventional study,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Translational psychiatry,Journal Article,2026-03-06,2158-3188,2158-3188,,"Humans | Ketamine / pharmacology | Ketamine / administration & dosage | Female | Adult | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / physiopathology | Male | Electroencephalography | Middle Aged | Antidepressive Agents / pharmacology | Default Mode Network / physiopathology | Default Mode Network / drug effects | Nerve Net / drug effects | Nerve Net / physiopathology",,,,eng,24,baseline,single subanesthetic dose of racemic ketamine,0.5 mg/kg,infusion,single infusion,24 hours post-infusion,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},NCT04239963,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Treatment-resistant depression,Ketamine,Treatment-resistant depression,Ketamine,,Treatment-resistant depression,Treatment-resistant depression,anhedonic symptoms,symptom_or_problem,Treatment-resistant depression,indication,True,10.1038/s41398-026-03928-4,Modulatory effects of ketamine on EEG source-based resting state connectivity in treatment resistant depression.,compound_disorder,Treatment-resistant depression,not_applicable,Clinical symptom reduction,Anhedonia,positive,Snaith-Hamilton Pleasure Scale (SHAPS),,24 participants with Treatment-resistant depression (TRD),clinical,Lees T; Scott JN Jr; Boyle BW; Esfand SM; Linton SR; Miller C; Li M; Woronko SE; Dunayev R; Bogdanov M,2026,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Twenty-four hours post-infusion, depressive, anhedonic, and ruminative symptoms for the TRD sample were significantly reduced. ... Similar results were observed when examining anhedonic symptoms (SHAPS scores) where TRD participants reported a small but significant reduction (37.46 ± 5.79 vs 35.29 ± 5.88; t = -2.126, p = 0.044)",full_text_seen,full_text_seen,abstract,"Abstract, C011, Table 1",Interventional study,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Translational psychiatry,Journal Article,2026-03-06,2158-3188,2158-3188,,"Humans | Ketamine / pharmacology | Ketamine / administration & dosage | Female | Adult | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / physiopathology | Male | Electroencephalography | Middle Aged | Antidepressive Agents / pharmacology | Default Mode Network / physiopathology | Default Mode Network / drug effects | Nerve Net / drug effects | Nerve Net / physiopathology",,,,eng,24,baseline,single subanesthetic dose of racemic ketamine,0.5 mg/kg,infusion,single infusion,24 hours post-infusion,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},NCT04239963,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Treatment-resistant depression,Ketamine,Treatment-resistant depression,Ketamine,,Treatment-resistant depression,Treatment-resistant depression,ruminative symptoms,symptom_or_problem,Treatment-resistant depression,indication,True,10.1038/s41398-026-03928-4,Modulatory effects of ketamine on EEG source-based resting state connectivity in treatment resistant depression.,compound_disorder,Treatment-resistant depression,not_applicable,Clinical symptom reduction,Rumination,positive,"Ruminative Response Scale (RRS) total, brooding, and depression-related rumination subscales",,24 participants with Treatment-resistant depression (TRD),clinical,Lees T; Scott JN Jr; Boyle BW; Esfand SM; Linton SR; Miller C; Li M; Woronko SE; Dunayev R; Bogdanov M,2026,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Twenty-four hours post-infusion, depressive, anhedonic, and ruminative symptoms for the TRD sample were significantly reduced. ... Moreover, we observed that the total rumination scores of TRD participants significantly decreased between the two sessions (64.78 ± 9.09 vs. 60.42 ± 9.84, t = -3.161, p = 0.005), as did their scores on the brooding (t = -2.206, p = 0.038) and depressionrelated rumination (t = -2.953, p = 0.007) subscales.",full_text_seen,full_text_seen,abstract,"Abstract, C011, Table 1",Interventional study,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Translational psychiatry,Journal Article,2026-03-06,2158-3188,2158-3188,,"Humans | Ketamine / pharmacology | Ketamine / administration & dosage | Female | Adult | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / physiopathology | Male | Electroencephalography | Middle Aged | Antidepressive Agents / pharmacology | Default Mode Network / physiopathology | Default Mode Network / drug effects | Nerve Net / drug effects | Nerve Net / physiopathology",,,,eng,24,baseline,single subanesthetic dose of racemic ketamine,0.5 mg/kg,infusion,single infusion,24 hours post-infusion,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},NCT04239963,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Treatment-resistant depression,Ketamine,Treatment-resistant depression,ketamine,,treatment-resistant depression,treatment-resistant depression,MADRS total score difference between pre- and post- treatment,outcome_measure,Treatment-resistant depression,indication,True,10.1093/ijnp/pyae059.240,MAGNETIC SUBCORTICAL SUSCEPTIBILITY IS ASSOCIATED WITH THE TREATMENT OUTCOME OF REPEATED KETAMINE INFUSION FOR PATIENTS WITH TREATMENT-RESISTANT DEPRESSION,compound_disorder,treatment-resistant depression (TRD),not_applicable,clinical symptom severity,depression,positive,Montgomery-Åsberg Depression Rating Scale (MADRS) score change,MADRS,patients with TRD,clinical,*Kengo Yonezawa; Hideaki Tani; Shuhei Shibukawa; Yohei Ohtani; Kie Nomoto-Takahashi; Taisuke Yatomi; Shiori Honda; Shinsuke Koike; Hiroyuki Uchida; Shinichiro Nakajima,2025,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,The mean change in MADRS total score between ketamine treatment was -7.8 ± 6.3.,full_text_seen,full_text_seen,abstract,Abstract; chunk C004,"post-hoc analysis of a placebo-controlled, double-blind, randomized clinical trial (DBRCT) followed by an open-label trial",,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,International Journal of Neuropsychopharmacology,journal-article,2025-02,1461-1457,1469-5111,Oxford University Press (OUP),,,,,en,13,placebo,intravenous ketamine,0.5 mg/kg,intravenous,twice weekly for two weeks,pre- and post- treatment,,,,not_reported,high,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Nicotine dependence,Ketamine,Nicotine dependence,ketamine,,nicotine dependence,Nicotine dependence,developing nicotine dependence,therapeutic_indication,Nicotine dependence,indication,True,10.1093/jbcr/irad045.037,63 Adjunctive Ketamine Reduces the Risk of Developing Chronic Opioid Use in Burn Patients,compound_disorder,burn patients,not_reported,Risk reduction,Substance use disorder,positive,Risk of developing nicotine dependence (RR 1.32 for patients without ketamine),,"Burn patients who underwent burn-related surgeries, excluding patients with a prior history of opioid-related and psychiatric disorders.",clinical,Dalton Amador; Isabel Obias; Kathleen Karam; Chris Soudah; Amy Arceneaux; Amina El Ayadi; Juquan Song; Georgiy Golovko; Steven Wolf,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Patients without ketamine had a higher risk of ... developing nicotine dependence ([RR], 1.32, p < 0.001)",full_text_seen,full_text_seen,abstract,Abstract,observational study with propensity score matching,,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Journal of Burn Care & Research,journal-article,2023-05-01,1559-047X,1559-0488,Oxford University Press (OUP),,,,,en,"103,974 patients (8,328 with ketamine, 51,413 without ketamine) before 1:1 propensity score matching.",opioids alone (without ketamine),adjunctive ketamine,not_reported,not_reported,not_reported,at least one year after burn injury,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Anxiety,Ketamine,Anxiety,ketamine,,anxiety disorders,Anxiety disorders,developing anxiety disorders,therapeutic_indication,Anxiety,indication,True,10.1093/jbcr/irad045.037,63 Adjunctive Ketamine Reduces the Risk of Developing Chronic Opioid Use in Burn Patients,compound_disorder,burn patients,not_reported,Risk reduction,Psychiatric disorder,positive,Risk of developing anxiety disorders (RR 1.21 for patients without ketamine),,"Burn patients who underwent burn-related surgeries, excluding patients with a prior history of opioid-related and psychiatric disorders.",clinical,Dalton Amador; Isabel Obias; Kathleen Karam; Chris Soudah; Amy Arceneaux; Amina El Ayadi; Juquan Song; Georgiy Golovko; Steven Wolf,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Patients without ketamine had a higher risk of ... developing anxiety disorders ([RR], 1.21, p = 0.007) at least one year after burn injury.",full_text_seen,full_text_seen,abstract,Abstract,observational study with propensity score matching,,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Journal of Burn Care & Research,journal-article,2023-05-01,1559-047X,1559-0488,Oxford University Press (OUP),,,,,en,"103,974 patients (8,328 with ketamine, 51,413 without ketamine) before 1:1 propensity score matching.",opioids alone (without ketamine),adjunctive ketamine,not_reported,not_reported,not_reported,at least one year after burn injury,,,,not_reported,low,label,alias,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Depression,Ketamine,Depression,ketamine,,Depression,Depression,reduce depression,therapeutic_indication,Depression,indication,True,10.1159/000444278,Case Reports Showing a Long-Term Effect of Subanesthetic Ketamine Infusion in Reducing &lt;smlcap&gt;L&lt;/smlcap&gt;-DOPA-Induced Dyskinesias,compound_disorder,Parkinson's disease (PD) patients,none,clinical_outcome,Psychiatric symptoms,positive,depression,,Parkinson's disease (PD) patients,clinical,Scott J. Sherman; Miguel Estevez; Ari B. Magill; Torsten Falk,2016,case_report,doi,case_report,original_empirical,primary_evidence,uncertain,supported,1.0,False,"We report on low-dose subanesthetic intravenous ketamine infusion treatment in Parkinson's disease (PD) patients by 5 case studies and show a long-lasting therapeutic benefit to reduce L-DOPA-induced dyskinesia (LID), improve on time, and reduce depression. ... Case No. 3, an 84-year-old male... was treated for severe back pain and depression. ... Ketamine dramatically improved the patient's depression, pain, and acutely improved his motor symptoms. ... His depression was dramatically improved (patient was suicidal before infusion and only mildly depressed on subsequent follow-up visits, followed by S.J.S.).",full_text_seen,full_text_seen,text,"Abstract, C001, C003",retrospective case series,,The authors have no ethical conflicts to disclose.,Case reports inherently have a high risk of bias due to lack of control groups and blinding.,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Case reports in neurology,Case Reports | Journal Article,2016-02-26,1662-680X,,,,Depression | Hypersynchrony | Levodopa | NMDA receptors | Pain | Parkinson's disease,,,eng,5,not_reported,intravenous ketamine infusion,low-dose subanesthetic intravenous ketamine infusion,intravenous,not_reported,"long-lasting, subsequent follow-up visits",,,,no significant sedation,low,label,label,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Depression,Ketamine,Depression,ketamine,,Depression,Depression,depressive-like behaviors,therapeutic_indication,Depression,indication,True,10.1172/jci158545,TIAM1-mediated synaptic plasticity underlies comorbid depression–like and ketamine antidepressant–like actions in chronic pain,compound_disorder,neuropathic pain-induced depressive-like behaviors,not_applicable,Depressive-like behavior,Behavioral,positive,"immobility time in FST, immobility time in TST",,SNI mice (mouse models of neuropathic pain),preclinical,Qin Ru; Yungang Lu; Ali Bin Saifullah; Francisco A. Blanco; Changqun Yao; Juan P. Cata; De-Pei Li; Kimberley F. Tolias; Lingyong Li,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"a single injection of a subanesthetic dose of ketamine (15 mg/kg, i.p.) was sufficient to reduce neuropathic pain-induced depressive-like behaviors for at least 3 days (Figure 7 , A and C-F ). Specifically, animals with neuropathic pain showed a decrease in depressive/anxiety-like behaviors 1 hour after ketamine administration in the FST (Figure 7C )... Ketamine reduced immobility times of SNI mice in the TST 3 days after administration (Figure 7F ).",full_text_seen,full_text_seen,text,"Chunk C006, Figure 7 caption",experimental animal study,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Journal of Clinical Investigation,journal-article,2022-12-14,0021-9738,1558-8238,American Society for Clinical Investigation,Animals | Mice | Antidepressive Agents / pharmacology | Chronic Pain / drug therapy | Depression / drug therapy | Depression / genetics | Ketamine / pharmacology | Neuronal Plasticity | T-Lymphoma Invasion and Metastasis-inducing Protein 1 / genetics | T-Lymphoma Invasion and Metastasis-inducing Protein 1 / metabolism,Depression | Neurological disorders | Neuroscience | Pain,NINDS NIH HHS | NICHD NIH HHS | NIMH NIH HHS,RF1 NS062829 | U54 HD083092 | R01 MH109511 | R01 NS062829 | R01 NS124141 | P50 HD103555,eng,9 mice for each group,saline,ketamine,15 mg/kg,i.p.,single injection,"1 hour, 3 days",,,,not_reported,low,label,label,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Anxiety,Ketamine,Anxiety,ketamine,,Anxiety disorders,Anxiety disorders,anxiety-like behaviors,therapeutic_indication,Anxiety,indication,True,10.1172/jci158545,TIAM1-mediated synaptic plasticity underlies comorbid depression–like and ketamine antidepressant–like actions in chronic pain,compound_disorder,neuropathic pain-induced depressive/anxiety-like behaviors,not_applicable,Anxiety-like behavior,Behavioral,positive,"time in open arms (EPM), time in center (OFA)",,SNI mice (mouse models of neuropathic pain),preclinical,Qin Ru; Yungang Lu; Ali Bin Saifullah; Francisco A. Blanco; Changqun Yao; Juan P. Cata; De-Pei Li; Kimberley F. Tolias; Lingyong Li,2022,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"a single injection of a subanesthetic dose of ketamine (15 mg/kg, i.p.) was sufficient to reduce neuropathic pain-induced depressive-like behaviors for at least 3 days (Figure 7 , A and C-F ). Specifically, animals with neuropathic pain showed a decrease in depressive/anxiety-like behaviors... 1 day after ketamine administration in the EPM test (Figure 7D ), 2 days after ketamine administration in the OFA test (Figure 7E ).",full_text_seen,full_text_seen,text,"Chunk C006, Figure 7 caption",experimental animal study,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Journal of Clinical Investigation,journal-article,2022-12-14,0021-9738,1558-8238,American Society for Clinical Investigation,Animals | Mice | Antidepressive Agents / pharmacology | Chronic Pain / drug therapy | Depression / drug therapy | Depression / genetics | Ketamine / pharmacology | Neuronal Plasticity | T-Lymphoma Invasion and Metastasis-inducing Protein 1 / genetics | T-Lymphoma Invasion and Metastasis-inducing Protein 1 / metabolism,Depression | Neurological disorders | Neuroscience | Pain,NINDS NIH HHS | NICHD NIH HHS | NIMH NIH HHS,RF1 NS062829 | U54 HD083092 | R01 MH109511 | R01 NS062829 | R01 NS124141 | P50 HD103555,eng,9 mice for each group,saline,ketamine,15 mg/kg,i.p.,single injection,"1 day, 2 days",,,,not_reported,low,label,alias,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},,,,,,
