normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,outcome_measure_normalized,population,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,source_access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,evidence_level,normalization_dataset,normalization_entity_category,compound_match_type,entity_match_type,compound_match_value,entity_match_value,compound_registry_status,entity_registry_status,compound_ids,entity_ids,entity_candidate_label,entity_candidate_score,language,mesh_terms,keywords,trial_registry_ids,funders,grant_ids,related_dois,publication_relations,has_correction,semantic_scholar_id
entity_unmapped,graph entity `therapeutic potential` did not match registry,Mescaline,,therapeutic potential,Mescaline,,,,,,therapeutic potential,therapeutic_indication,therapeutic potential,indication,True,10.2174/1874467211666181010154139,Pharmacokinetic and Pharmacodynamic Aspects of Peyote and Mescaline: Clinical and Forensic Repercussions,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Ricardo Jorge Dinis-Oliveira; Carolina Lança Pereira; Diana Dias da Silva,2018,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Addiction and dependence are practically absent and it is clear that most intoxications appear to be mild and are unlikely to produce lifethreatening symptoms, which favors the contemporary interest in the therapeutic potential of the drugs of the class.",secondary_summary,abstract_only,abstract,CONCLUSION,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Current Molecular Pharmacology,journal-article,2018-10-15,1874-4672,1874-4702,Elsevier BV,low,disorder,disorders,label,,Mescaline,therapeutic potential,needs_external_id_lookup,,{},{},existential distress,0.439,eng,Animals | Cactaceae / chemistry | Forensic Medicine | Hallucinogens / metabolism | Hallucinogens / pharmacokinetics | Hallucinogens / pharmacology | Hallucinogens / toxicity | Humans | Intestinal Absorption | Mescaline / metabolism | Mescaline / pharmacokinetics | Mescaline / pharmacology | Mescaline / toxicity | Tissue Distribution,Mescaline | metabolism | peyote | pharmacodynamics | pharmacokinetics | toxicity.,,,,,,,
entity_unmapped,"graph entity `euphoria, hallucinations, depersonalization and psychoses` did not match registry",Mescaline,,"euphoria, hallucinations, depersonalization and psychoses",Mescaline,,,,,,"euphoria, hallucinations, depersonalization and psychoses",therapeutic_indication,"euphoria, hallucinations, depersonalization and psychoses",indication,True,10.2174/1874467211666181010154139,Pharmacokinetic and Pharmacodynamic Aspects of Peyote and Mescaline: Clinical and Forensic Repercussions,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Ricardo Jorge Dinis-Oliveira; Carolina Lança Pereira; Diana Dias da Silva,2018,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Its pharmacodynamic mechanisms of action are primarily attributed to the interaction with the serotonergic 5-HT2A-C receptors, and therefore clinical effects are similar to those elicited by other psychoactive substances, such as lysergic acid diethylamide (LSD) and psilocybin, which include euphoria, hallucinations, depersonalization and psychoses.",secondary_summary,abstract_only,abstract,RESULTS,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Current Molecular Pharmacology,journal-article,2018-10-15,1874-4672,1874-4702,Elsevier BV,low,disorder,disorders,label,,Mescaline,"euphoria, hallucinations, depersonalization and psychoses",needs_external_id_lookup,,{},{},cancer related depression,0.375,eng,Animals | Cactaceae / chemistry | Forensic Medicine | Hallucinogens / metabolism | Hallucinogens / pharmacokinetics | Hallucinogens / pharmacology | Hallucinogens / toxicity | Humans | Intestinal Absorption | Mescaline / metabolism | Mescaline / pharmacokinetics | Mescaline / pharmacology | Mescaline / toxicity | Tissue Distribution,Mescaline | metabolism | peyote | pharmacodynamics | pharmacokinetics | toxicity.,,,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Treatment Resistant Depression,Ketamine,Treatment-resistant depression,,,,,Treatment Resistant Depression,therapeutic_indication,Treatment Resistant Depression,indication,True,10.1155/2015/842817,"Ketamine, Transcranial Magnetic Stimulation, and Depression Specific Yoga and Mindfulness Based Cognitive Therapy in Management of Treatment Resistant Depression: Review and Some Data on Efficacy",compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Basant Pradhan; Tapan Parikh; Ramkrishna Makani; Madhusmita Sahoo,2015,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"Ketamine and repetitive transcranial magnetic stimulation (rTMS) have useful roles in TRD, but their utility in long term is unknown.",secondary_summary,full_text_seen,abstract,C001,Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Depression Research and Treatment,journal-article,2015-01-01,2090-1321,2090-133X,Wiley,low,disorder,disorders,label,label,Ketamine,Treatment Resistant Depression,needs_external_id_lookup,needs_external_id_lookup,{},{},Treatment-resistant depression,1.0,eng,,,,,,,,,
entity_unmapped,graph entity `acute depression symptoms` did not match registry,Ketamine,,acute depression symptoms,Ketamine,,,,,,acute depression symptoms,therapeutic_indication,acute depression symptoms,indication,True,10.1155/2015/842817,"Ketamine, Transcranial Magnetic Stimulation, and Depression Specific Yoga and Mindfulness Based Cognitive Therapy in Management of Treatment Resistant Depression: Review and Some Data on Efficacy",compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Basant Pradhan; Tapan Parikh; Ramkrishna Makani; Madhusmita Sahoo,2015,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Considering the limitations of existing treatment options, including those of ketamine and rTMS when used as the sole modality of treatment, we suggest a ""tiered approach for TRD"" by combining ketamine and rTMS (alone or along with antidepressants) for rapid remission of acute depression symptoms and to use DepS Y-MBCT for maintaining remission and preventing relapse.",secondary_summary,full_text_seen,abstract,C001,Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=mentions; relationship is discussed in secondary literature, not treated as primary evidence",Depression Research and Treatment,journal-article,2015-01-01,2090-1321,2090-133X,Wiley,low,disorder,disorders,label,,Ketamine,acute depression symptoms,needs_external_id_lookup,,{},{},depressive symptoms,0.7727,eng,,,,,,,,,
compound_combo_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,"psilocybin, lysergic acid diethylamide, N,N-dimethyltryptamine",,treatment-resistant major depression,,,,,,,treatment-resistant major depression,therapeutic_indication,treatment-resistant major depression,indication,True,10.3174/ajnr.a8118,Multimodal Neuroimaging of the Effect of Serotonergic Psychedelics on the Brain,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Paloma C. Frautschi; Ajay P. Singh; Nicholas A. Stowe; John-Paul J. Yu,2024,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Psychedelic compounds, such as psilocybin, lysergic acid diethylamide, and N,N-dimethyltryptamine, have emerged as potential therapies for these disorders",secondary_summary,full_text_seen,abstract,Abstract,systematic review,NIGMS NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",American Journal of Neuroradiology,journal-article,2024-02-15,0195-6108,1936-959X,American Society of Neuroradiology (ASNR),low,disorder,disorders,,,"psilocybin, lysergic acid diethylamide, N,N-dimethyltryptamine",treatment-resistant major depression,,,{},{},Treatment-resistant depression,0.9091,eng,,,,NIGMS NIH HHS,T32 GM140935,,,,
compound_combo_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,"psilocybin, lysergic acid diethylamide, N,N-dimethyltryptamine",,post-traumatic stress disorder,,Post-traumatic stress disorder,,,,,post-traumatic stress disorder,therapeutic_indication,post-traumatic stress disorder,indication,True,10.3174/ajnr.a8118,Multimodal Neuroimaging of the Effect of Serotonergic Psychedelics on the Brain,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Paloma C. Frautschi; Ajay P. Singh; Nicholas A. Stowe; John-Paul J. Yu,2024,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Psychedelic compounds, such as psilocybin, lysergic acid diethylamide, and N,N-dimethyltryptamine, have emerged as potential therapies for these disorders",secondary_summary,full_text_seen,abstract,Abstract,systematic review,NIGMS NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",American Journal of Neuroradiology,journal-article,2024-02-15,0195-6108,1936-959X,American Society of Neuroradiology (ASNR),low,disorder,disorders,,label,"psilocybin, lysergic acid diethylamide, N,N-dimethyltryptamine",post-traumatic stress disorder,,needs_external_id_lookup,{},{},Post-traumatic stress disorder,1.0,eng,,,,NIGMS NIH HHS,T32 GM140935,,,,
compound_combo_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,"psilocybin, lysergic acid diethylamide, N,N-dimethyltryptamine",,substance use disorders,,Substance use disorder,,,,,substance use disorders,therapeutic_indication,substance use disorders,indication,True,10.3174/ajnr.a8118,Multimodal Neuroimaging of the Effect of Serotonergic Psychedelics on the Brain,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Paloma C. Frautschi; Ajay P. Singh; Nicholas A. Stowe; John-Paul J. Yu,2024,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Psychedelic compounds, such as psilocybin, lysergic acid diethylamide, and N,N-dimethyltryptamine, have emerged as potential therapies for these disorders",secondary_summary,full_text_seen,abstract,Abstract,systematic review,NIGMS NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",American Journal of Neuroradiology,journal-article,2024-02-15,0195-6108,1936-959X,American Society of Neuroradiology (ASNR),low,disorder,disorders,,fuzzy_high_confidence,"psilocybin, lysergic acid diethylamide, N,N-dimethyltryptamine",substance use disorders,,needs_external_id_lookup,{},{},Substance use disorder,0.9778,eng,,,,NIGMS NIH HHS,T32 GM140935,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,psychedelic compounds,,neuropsychiatric illness,,,,,,,neuropsychiatric illness,therapeutic_indication,neuropsychiatric illness,indication,True,10.3174/ajnr.a8118,Multimodal Neuroimaging of the Effect of Serotonergic Psychedelics on the Brain,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Paloma C. Frautschi; Ajay P. Singh; Nicholas A. Stowe; John-Paul J. Yu,2024,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.8,False,We further aim to disseminate our understanding of psychedelic compounds as they relate to neuroimaging with the goal of improved diagnostics and treatment of neuropsychiatric illness.,secondary_summary,full_text_seen,abstract,Abstract,systematic review,NIGMS NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",American Journal of Neuroradiology,journal-article,2024-02-15,0195-6108,1936-959X,American Society of Neuroradiology (ASNR),low,disorder,disorders,,,psychedelic compounds,neuropsychiatric illness,,,{},{},Neuropathic pain,0.65,eng,,,,NIGMS NIH HHS,T32 GM140935,,,,
entity_unmapped,graph entity `psychiatric disorders` did not match registry,psilocybin,,psychiatric disorders,Psilocybin,,,,,,psychiatric disorders,therapeutic_indication,psychiatric disorders,indication,True,10.3174/ajnr.a8118,Multimodal Neuroimaging of the Effect of Serotonergic Psychedelics on the Brain,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Paloma C. Frautschi; Ajay P. Singh; Nicholas A. Stowe; John-Paul J. Yu,2024,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.8,False,"Together, these findings display the possibility of psilocybin treatment to reduce excessive amygdala reactivity, a symptom displayed in many psychiatric disorders.",secondary_summary,full_text_seen,text,C005,systematic review,NIGMS NIH HHS,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",American Journal of Neuroradiology,journal-article,2024-02-15,0195-6108,1936-959X,American Society of Neuroradiology (ASNR),low,disorder,disorders,label,,psilocybin,psychiatric disorders,needs_external_id_lookup,,{},{},Eating disorders,0.7027,eng,,,,NIGMS NIH HHS,T32 GM140935,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,psychedelic therapies,,Fibromyalgia,,,,,,,Fibromyalgia,therapeutic_indication,Fibromyalgia,indication,True,10.55563/clinexprheumatol/buhd2z,Fibromyalgia: one year in review 2025,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Cristina Iannuccelli; Martina Favretti; Giulio Dolcini; Marco Di Carlo; Greta Pellegrino; Laura Bazzichi; Fabiola Atzeni; Daniela Lucini; Giustino Varassi; Matteo Luigi Giuseppe Leoni,2025,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"Emerging areas such as non-invasive neuromodulation, psychedelic therapies, and the integration of technologies like virtual reality and artificial intelligence are opening new frontiers in treatment, patient care, and research.",secondary_summary,full_text_seen,abstract,C001,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Clinical and Experimental Rheumatology,journal-article,2025-04-29,0392-856X,1593-098X,Clinical and Experimental Rheumatology,low,disorder,disorders,,,psychedelic therapies,Fibromyalgia,,,{},{},social phobia,0.4,eng,Humans | Fibromyalgia / therapy | Fibromyalgia / physiopathology | Fibromyalgia / diagnosis | Fibromyalgia / epidemiology | Fibromyalgia / psychology | Quality of Life | COVID-19 / epidemiology,,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,hallucinogenic drugs,,mental health improvement,,,,,,,mental health improvement,therapeutic_indication,mental health improvement,indication,True,10.1007/s11013-022-09814-0,Hallucinations and Hallucinogens: Psychopathology or Wisdom?,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,José Carlos Bouso; Genís Ona; Maja Kohek; Rafael G. dos Santos; Jaime E. C. Hallak; Miguel Ángel Alcázar-Córcoles; Joan Obiols-Llandrich,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"during the last decades a huge body of research has shown that certain kinds of hallucinations, exerted by hallucinogenic drugs, may serve to improve mental health.",secondary_summary,full_text_seen,abstract,S001,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Culture Medicine and Psychiatry,journal-article,2023-01-12,0165-005X,1573-076X,Springer Science and Business Media LLC,low,disorder,disorders,,,hallucinogenic drugs,mental health improvement,,,{},{},Suicidal ideation,0.4286,eng,Humans | Hallucinogens / therapeutic use | Hallucinations | Psychopathology | Mental Disorders | Psychotic Disorders,Hallucinations | Hallucinogens | Ontology | Psychedelics | Psychopathology | Psychotherapy,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,hallucinogenic drugs,,"alcoholism, treatment-resistant depression, anxiety related to life-threatening diseases",,,,,,,"alcoholism, treatment-resistant depression, anxiety related to life-threatening diseases",therapeutic_indication,"alcoholism, treatment-resistant depression, anxiety related to life-threatening diseases",indication,True,10.1007/s11013-022-09814-0,Hallucinations and Hallucinogens: Psychopathology or Wisdom?,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,José Carlos Bouso; Genís Ona; Maja Kohek; Rafael G. dos Santos; Jaime E. C. Hallak; Miguel Ángel Alcázar-Córcoles; Joan Obiols-Llandrich,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"The therapeutic properties of these substances have recently been explored for the treatment of alcoholism, treatment-resistant depression, and anxiety related to life-threatening diseases (Rucker et al., 2018).",secondary_summary,full_text_seen,text,C011,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Culture Medicine and Psychiatry,journal-article,2023-01-12,0165-005X,1573-076X,Springer Science and Business Media LLC,low,disorder,disorders,,,hallucinogenic drugs,"alcoholism, treatment-resistant depression, anxiety related to life-threatening diseases",,,{},{},Distress associated with life-threatening disease,0.6074,eng,Humans | Hallucinogens / therapeutic use | Hallucinations | Psychopathology | Mental Disorders | Psychotic Disorders,Hallucinations | Hallucinogens | Ontology | Psychedelics | Psychopathology | Psychotherapy,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,hallucinogens,,potential therapeutic uses,,,,,,,potential therapeutic uses,therapeutic_indication,potential therapeutic uses,indication,True,10.1007/s11013-022-09814-0,Hallucinations and Hallucinogens: Psychopathology or Wisdom?,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,José Carlos Bouso; Genís Ona; Maja Kohek; Rafael G. dos Santos; Jaime E. C. Hallak; Miguel Ángel Alcázar-Córcoles; Joan Obiols-Llandrich,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"During the last 10 to 15 years, several neurobiological studies and therapeutic clinical trials have been published, which demonstrated promising results in understanding the mechanisms of action of hallucinogens and their potential therapeutic uses (Bouso et al., 2021; dos Santos & Hallak, 2020).",secondary_summary,full_text_seen,text,C012,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Culture Medicine and Psychiatry,journal-article,2023-01-12,0165-005X,1573-076X,Springer Science and Business Media LLC,low,disorder,disorders,,,hallucinogens,potential therapeutic uses,,,{},{},Post-traumatic stress disorder,0.5357,eng,Humans | Hallucinogens / therapeutic use | Hallucinations | Psychopathology | Mental Disorders | Psychotic Disorders,Hallucinations | Hallucinogens | Ontology | Psychedelics | Psychopathology | Psychotherapy,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,hallucinogenic drugs,,healing transformation in psychiatry,,,,,,,healing transformation in psychiatry,therapeutic_indication,healing transformation in psychiatry,indication,True,10.1007/s11013-022-09814-0,Hallucinations and Hallucinogens: Psychopathology or Wisdom?,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,José Carlos Bouso; Genís Ona; Maja Kohek; Rafael G. dos Santos; Jaime E. C. Hallak; Miguel Ángel Alcázar-Córcoles; Joan Obiols-Llandrich,2023,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,This could be one of the reasons to support the modern use of hallucinogenic drugs in psychiatry: because they can produce healing transformation through an enhanced knowledge of the subjects' reality.,secondary_summary,full_text_seen,text,C015,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Culture Medicine and Psychiatry,journal-article,2023-01-12,0165-005X,1573-076X,Springer Science and Business Media LLC,low,disorder,disorders,,,hallucinogenic drugs,healing transformation in psychiatry,,,{},{},eating disorder,0.3922,eng,Humans | Hallucinogens / therapeutic use | Hallucinations | Psychopathology | Mental Disorders | Psychotic Disorders,Hallucinations | Hallucinogens | Ontology | Psychedelics | Psychopathology | Psychotherapy,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,psychedelics,,psychiatric disorders,,,,,,,psychiatric disorders,therapeutic_indication,psychiatric disorders,indication,True,10.1016/j.neubiorev.2024.105538,Synthetic surprise as the foundation of the psychedelic experience,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Roberto De Filippo; Dietmar Schmitz,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"In recent years, there has been a resurgence of interest in reevaluating the therapeutic potential of psychedelics as groundbreaking treatments for psychiatric disorders",secondary_summary,full_text_seen,text,S009,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuroscience & Biobehavioral Reviews,journal-article,2024-01-15,0149-7634,1873-7528,Elsevier BV,low,disorder,disorders,,,psychedelics,psychiatric disorders,,,{},{},Eating disorders,0.7027,eng,Humans | Hallucinogens / pharmacology | Serotonin / pharmacology | Consciousness | Signal Transduction,5-HT | 5-HT transcriptomics | Affective realism | Cognitive penetrability | Predictive coding | Psychedelics | Serotonin,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,psychedelics,,depression and alcoholism,,,,,,,depression and alcoholism,therapeutic_indication,depression and alcoholism,indication,True,10.1016/j.neubiorev.2024.105538,Synthetic surprise as the foundation of the psychedelic experience,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Roberto De Filippo; Dietmar Schmitz,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"earlier explorations conducted during the 1950 s and 1960 s, when psychedelics were investigated as potential therapies for depression and alcoholism",secondary_summary,full_text_seen,text,S009,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuroscience & Biobehavioral Reviews,journal-article,2024-01-15,0149-7634,1873-7528,Elsevier BV,low,disorder,disorders,,,psychedelics,depression and alcoholism,,,{},{},alcoholism,0.5714,eng,Humans | Hallucinogens / pharmacology | Serotonin / pharmacology | Consciousness | Signal Transduction,5-HT | 5-HT transcriptomics | Affective realism | Cognitive penetrability | Predictive coding | Psychedelics | Serotonin,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,psychedelics,,depression and anxiety-related disorders,,,,,,,depression and anxiety-related disorders,therapeutic_indication,depression and anxiety-related disorders,indication,True,10.1016/j.neubiorev.2024.105538,Synthetic surprise as the foundation of the psychedelic experience,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Roberto De Filippo; Dietmar Schmitz,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"Recent experimental results are encouraging towards a potential role for psychedelics in clinical settings, specifically for the treatment of depression and anxiety-related disorders",secondary_summary,full_text_seen,text,S009,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Neuroscience & Biobehavioral Reviews,journal-article,2024-01-15,0149-7634,1873-7528,Elsevier BV,low,disorder,disorders,,,psychedelics,depression and anxiety-related disorders,,,{},{},Social anxiety disorder,0.6349,eng,Humans | Hallucinogens / pharmacology | Serotonin / pharmacology | Consciousness | Signal Transduction,5-HT | 5-HT transcriptomics | Affective realism | Cognitive penetrability | Predictive coding | Psychedelics | Serotonin,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,Psychedelics,,"mental health conditions such as depression, PTSD, and addiction",,,,,,,"mental health conditions such as depression, PTSD, and addiction",therapeutic_indication,"mental health conditions such as depression, PTSD, and addiction",indication,True,10.18192/uojm.v15i2.7456,The Psychedelic Frontier: A Cross-Specialty Review of Healthcare Providers' Attitudes on Psychedelic-Assisted Therapy in the US,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Stefan Sampy; Rohan Sampy,2025,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"Psychedelics, historically used for transcendent experiences, have garnered renewed interest for their potential therapeutic applications, particularly in treating mental health conditions such as depression, PTSD, and addiction.",secondary_summary,full_text_seen,abstract,ABSTRACT,systematic review,,There are no conflicts of interest to declare.,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",University of Ottawa Journal of Medicine,journal-article,2025-12-09,2292-650X,2292-6518,University of Ottawa Library,low,disorder,disorders,,,Psychedelics,"mental health conditions such as depression, PTSD, and addiction",,,{},{},opioid addiction,0.3846,,,,,,,,,,
compound_combo_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,"LSD, psilocybin, MDMA, ayahuasca",,"treatment-resistant depression, PTSD, autism, chronic pain, end-of-life care",,,,,,,"treatment-resistant depression, PTSD, autism, chronic pain, end-of-life care",therapeutic_indication,"treatment-resistant depression, PTSD, autism, chronic pain, end-of-life care",indication,True,10.18192/uojm.v15i2.7456,The Psychedelic Frontier: A Cross-Specialty Review of Healthcare Providers' Attitudes on Psychedelic-Assisted Therapy in the US,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Stefan Sampy; Rohan Sampy,2025,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"Research into LSD, psilocybin, MDMA, and ayahuasca has shown promise in treating conditions such as treatment-resistant depression, PTSD, autism, chronic pain, assisting in end-of-life care, and even in modulating the gut-brain axis.",secondary_summary,full_text_seen,text,C002,systematic review,,There are no conflicts of interest to declare.,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",University of Ottawa Journal of Medicine,journal-article,2025-12-09,2292-650X,2292-6518,University of Ottawa Library,low,disorder,disorders,,,"LSD, psilocybin, MDMA, ayahuasca","treatment-resistant depression, PTSD, autism, chronic pain, end-of-life care",,,{},{},Treatment-resistant depression,0.5882,,,,,,,,,,
compound_combo_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,"MDMA, cannabis, psilocybin, LSD, ayahuasca",,"neurocognitive consequences, psychiatric conditions (schizophrenia, affective disorders, anxiety disorders, depersonalization disorder)",,,,,,,"neurocognitive consequences, psychiatric conditions (schizophrenia, affective disorders, anxiety disorders, depersonalization disorder)",therapeutic_indication,"neurocognitive consequences, psychiatric conditions (schizophrenia, affective disorders, anxiety disorders, depersonalization disorder)",indication,True,10.18192/uojm.v15i2.7456,The Psychedelic Frontier: A Cross-Specialty Review of Healthcare Providers' Attitudes on Psychedelic-Assisted Therapy in the US,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Stefan Sampy; Rohan Sampy,2025,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"A systematic review conducted by Velit-Salazar et al discussed the neurocognitive consequences of various psychedelic drugs, including MDMA, cannabis, psilocybin, LSD, and ayahuasca, in otherwise healthy individuals. ... A case series systematic review by Yildirim et al. evaluated the prevalence of psychiatric conditions following psychedelic use. The review identified seventeen schizophrenia, seventeen affective disorders (depression, mania, or both), three anxiety disorders, one depersonalization disorder, and one case of an unclassifiable psychiatric condition that occurred following the use of psychedelics.",secondary_summary,full_text_seen,text,C006,systematic review,,There are no conflicts of interest to declare.,,"Projected from extraction_v1 coverage_mentions; coverage_type=summarizes; relationship is discussed in secondary literature, not treated as primary evidence",University of Ottawa Journal of Medicine,journal-article,2025-12-09,2292-650X,2292-6518,University of Ottawa Library,low,disorder,disorders,,,"MDMA, cannabis, psilocybin, LSD, ayahuasca","neurocognitive consequences, psychiatric conditions (schizophrenia, affective disorders, anxiety disorders, depersonalization disorder)",,,{},{},cancer-related anxiety and depression,0.3253,,,,,,,,,,
