study_doi,notes,study_title,evidence_location,study_year,source,source_type,evidence_locator,authors,access_level,disorder,compound,openalex_id,evidence_level,study_design,system,population,outcome_type,outcome_measure,paper_type,result_direction,demoted_from,cleanup_bucket,recommended_action,cleanup_issues,original_row_index,demoted_at
10.1089/jpm.2024.0040,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Adjunctive Intranasal Esketamine for Comorbid Treatment-Resistant Depression with Suicidal Ideation in Patients Receiving Palliative Care at a Comprehensive Cancer Center: A Case Series,abstract,2024,doi,primary_study,Abstract snippet: <b><i>Background:</i></b> The psychiatric needs of those with cancer and other advanced illnesses are becoming increasingly recognized. Ketamine is emerging as a promisin,Mercy Tomy; W. Brock Alexander; Sanjay Gupta; Dylan Schaefer; Amy A. Case,abstract_only,Treatment-resistant depression,S-ketamine,,low,preclinical_study,preclinical,adults with treatment-resistant depression,reduces depressive symptoms,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; abstract_only,277,2026-03-12T15:16:48.883038+00:00
10.1093/ijnp/pyaf052.084,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,"519. PSILOCYBIN ASSISTED PSYCHOTHERAPY FOR OBSESSIVE COMPULSIVE DISORDER, BODY DYSMORPHIC DISORDER, AND ANOREXIA NERVOSA: STUDY PROTOCOL",abstract,2025,doi,primary_study,"Abstract snippet: Abstract Background Obsessive compulsive disorder (OCD), body dysmorphic disorder (BDD), and anorexia nervosa (AN) are some of the most debilitating and chronic mental he",N Acevdo; David Castle; Susan L. Rossell,abstract_only,Obsessive-compulsive disorder,Psilocybin,,medium,open_label_trial,preclinical,adults with obsessive-compulsive disorder,improves clinical symptoms,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; abstract_only,288,2026-03-12T15:16:48.883038+00:00
10.1097/MD.0000000000041495,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Efficacy of esketamine nasal spray for treatment-resistant depression: A meta-analysis of randomized controlled studies,abstract,2025,doi,primary_study,Abstract snippet: Background: The efficacy of esketamine nasal spray for treatment-resistant depression remains controversial. This systematic review and meta-analysis was conducted to exp,Yihang Ouyang; Juan Li,abstract_only,Treatment-resistant depression,S-ketamine,,high,randomized_controlled_trial,preclinical,,reduces depressive symptoms,MADRS,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,295,2026-03-12T15:16:48.883038+00:00
10.1111/acps.13778/v2/response1,Auto-generated stub from DOI queue,"Author response for ""Randomized Controlled Trials of Psilocybin‐Assisted Therapy in the Treatment of Major Depressive Disorder: Systematic Review and Meta‐Analysis""",unknown,2024,doi,primary_study,"Metadata/title snippet: Author response for ""Randomized Controlled Trials of Psilocybin‐Assisted Therapy in the Treatment of Major Depressive Disorder: Systematic Review and",Vikas Menon; Parthasarathy Ramamurthy; Sandesh Venu; Chittaranjan Andrade,secondary_summary,Major depressive disorder,Psilocybin,,high,randomized_controlled_trial,clinical,,reduces depressive symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; secondary_summary,310,2026-03-12T15:16:48.883038+00:00
10.1111/add.16762,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Psychedelic‐assisted treatment for substance use disorder: A narrative systematic review,abstract,2025,doi,primary_study,"Abstract snippet: Abstract Background and aims This is the first systematic review of the extant literature on all major psychedelic‐assisted treatment for alcohol use disorder (AUD), toba",Theodore Piper; Francesca Small; Sam P. Brown; Michael Kelleher; Luke Mitcheson; James Rucker; Allan H. Young; John Marsden,abstract_only,Tobacco use disorder,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with tobacco use disorder,supports smoking abstinence,Relapse rate,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,311,2026-03-12T15:16:48.883038+00:00
10.1111/papr.13314,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Efficacy and safety of perioperative ketamine for the prevention of chronic postsurgical pain: A meta‐analysis,abstract,2023,doi,primary_study,Abstract snippet: Abstract Study Objective Assessment of the efficacy and safety of perioperative intravenous ketamine in reducing incidence and severity of chronic postsurgical pain. Stud,Ahmed H. Abouarab; Rebecca Brülle; Mohamed Y. Aboukilila; Stephanie Weibel; Alexander Schnabel,abstract_only,Chronic pain,Ketamine,,high,randomized_controlled_trial,preclinical,adults with chronic pain,improves clinical symptoms,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,316,2026-03-12T15:16:48.883038+00:00
10.1111/pcn.13734,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,"Efficacy and safety of intravenous ketamine treatment in Japanese patients with treatment‐resistant depression: A double‐blind, randomized, placebo‐controlled trial",abstract,2024,doi,primary_study,"Abstract snippet: Aim Although the antidepressant effect of ketamine on treatment‐resistant depression (TRD) has been frequently reported in North American and European countries, evidence",Yohei Ohtani; Hideaki Tani; Kie Nomoto‐Takahashi; Taisuke Yatomi; Kengo Yonezawa; Sota Tomiyama; Nobuhiro Nagai; Keisuke Kusudo; Shiori Honda; Sotaro Moriyama,abstract_only,Treatment-resistant depression,Ketamine,,high,randomized_controlled_trial,preclinical,adults with treatment-resistant depression,no significant change in depressive symptoms,MADRS,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,317,2026-03-12T15:16:48.883038+00:00
10.1136/bmjopen-2024-084844,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Protocol for a randomised controlled trial of ketamine versus ketamine and behavioural activation therapy for adults with treatment-resistant depression in the community,mixed,2024,doi,primary_study,"Abstract snippet: Introduction Although short-term benefits follow parenteral ketamine for treatment-resistant major depressive disorder (TR-MDD), there are challenges that prevent routine",Ben Beaglehole; Richard Porter; Katie M. Douglas; Cameron Lacey; Aroha de Bie; Jennifer Jordan; Charlie Mentzel; Bridgette Thwaites; Jenni Manuel; Greg Murray,full_text_seen,Treatment-resistant depression,Ketamine,,low,preclinical_study,preclinical,adults with treatment-resistant depression,reduces depressive symptoms,MADRS,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; full_text_seen still points to abstract snippet,319,2026-03-12T15:16:48.883038+00:00
10.1176/appi.pn.2023.03.3.22,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,"Special Report: Bipolar Disorder II—Frequently Neglected, Misdiagnosed",abstract,2023,doi,primary_study,"Abstract snippet: Back to table of contents Previous article Next article Clinical & ResearchFull AccessSpecial Report: Bipolar Disorder II—Frequently Neglected, MisdiagnosedTrisha Suppes,",Trisha Suppes; Holly A. Swartz; Sara Schley,abstract_only,Eating disorders,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with eating disorders,improves clinical symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,330,2026-03-12T15:16:48.883038+00:00
10.1177/00048674221083868,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,"A systematic literature review and meta-analysis of the effect of psilocybin and methylenedioxymethamphetamine on mental, behavioural or developmental disorders",abstract,2022,doi,primary_study,Abstract snippet: Objectives: There is an increasing interest in combining psilocybin or methylenedioxymethamphetamine with psychological support in treating psychiatric disorders. Althoug,Steve Kisely; Mark Connor; Andrew A. Somogyi; Dan Siskind,abstract_only,Obsessive-compulsive disorder,Psilocybin,,low,preclinical_study,preclinical,adults with obsessive-compulsive disorder,improves clinical symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; abstract_only,331,2026-03-12T15:16:48.883038+00:00
10.1177/02698811241269751,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Psilocybin for clinical indications: A scoping review,abstract,2024,doi,primary_study,Abstract snippet: Background: Psychedelic drugs have been of interest in medicine since the early 1950s. There has recently been a resurgence of interest in psychedelics. Aims: The objecti,Kim Madden; Breanne Flood; Darren Young Shing; Michael Ade-Conde; Imad Kashir; Melanie Mark; James MacKillop; Mohit Bhandari; Anthony Adili,abstract_only,Obsessive-compulsive disorder,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with obsessive-compulsive disorder,improves clinical symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,337,2026-03-12T15:16:48.883038+00:00
10.1177/02698811241287542,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Psilocybin for major depressive disorder: An updated systematic review and meta-analysis of randomized clinical trials,abstract,2024,doi,primary_study,"Abstract snippet: Background: Due to the unsatisfactory therapeutic effects of current antidepressants, research has been launched into alternative treatment approaches, such as the admini",Sepehr Aghajanian; Arman Shafiee; Samira Parvizi Omran; Aida Rezaei Nejad; Kyana Jafarabady; Omid Kohandel Gargari; Shahryar Rajai Firouzabadi; Ida Mohammadi; Touran Bahrami Babaheidari; Mahmood Bakhtiyari,abstract_only,Major depressive disorder,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with major depressive disorder,reduces depressive symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,338,2026-03-12T15:16:48.883038+00:00
10.1177/10398562231211171,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,What clinicians need to know about intranasal esketamine for treatment-resistant depression?,abstract,2023,doi,primary_study,Abstract snippet: Objective To review the usefulness of esketamine for treatment-resistant depression. Method Pivotal trials of intranasal esketamine in treatment-resistant depression were,Judy Hope; David Copolov; John Tiller; Megan Galbally; Malcolm Hopwood; Richard Newton; Nicholas A Keks,abstract_only,Treatment-resistant depression,S-ketamine,,low,preclinical_study,preclinical,adults with treatment-resistant depression,reduces depressive symptoms,Relapse rate,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; abstract_only,342,2026-03-12T15:16:48.883038+00:00
10.1177/20451253231151327,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Ketamine and esketamine in suicidal thoughts and behaviors: a systematic review,abstract,2023,doi,primary_study,Abstract snippet: Background: More than 2% of the general population experience suicidal ideas each year and a large number of them will attempt suicide. Evidence-based therapeutic options,Fabrice Jollant; Romain Colle; Thi Mai Loan Nguyen; Emmanuelle Corruble; Alain M. Gardier; Martin Walter; Mocrane Abbar; Gerd Wagner,abstract_only,Suicidal ideation,Ketamine,,high,randomized_controlled_trial,preclinical,adolescents with suicidal ideation,improves clinical symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,345,2026-03-12T15:16:48.883038+00:00
10.1177/20451253231202723,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Ketamine for bipolar depression: an updated systematic review,abstract,2023,doi,primary_study,"Abstract snippet: Background: The therapeutic potential of subanesthetic doses of ketamine appears promising in unipolar depression; however, its effectiveness in treating bipolar depressi",Farhan Fancy; Sipan Haikazian; Danica E. Johnson; David Chen‐Li; Anastasia Levinta; Muhammad Ishrat Husain; Rodrigo B. Mansur; Joshua D. Rosenblat,abstract_only,Suicidal ideation,Ketamine,,high,randomized_controlled_trial,preclinical,adults with suicidal ideation,improves clinical symptoms,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,346,2026-03-12T15:16:48.883038+00:00
10.1177/20451253251342319,Auto-generated stub from DOI queue; Disorder normalized from `distress associated with life-threatening disease`; Abstract-first autofill from paper metadata,Clinical conceptualisation of PTSD in psilocybin treatment: disrupting a pre-determined and over-determined maladaptive interpretive framework,abstract,2025,doi,primary_study,"Abstract snippet: Post-traumatic stress disorder (PTSD) and associated trauma and stressor-related disorders are common and debilitating, presenting significant treatment challenges due to",Nadav Liam Modlin; Victoria Williamson; Carolina Maggio; Joanne Stubley; Namik Kirlić; Anthony J. Cleare; James Rucker,abstract_only,Distress associated with life-threatening disease,Psilocybin,,low,preclinical_study,preclinical,adults with distress associated with life-threatening disease,reduces anxiety/depression symptoms,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; abstract_only,347,2026-03-12T15:16:48.883038+00:00
10.1177/20494637231182804,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Low-dose ketamine infusions for chronic pain management: Does this qualify as evidence-based practice?,abstract,2023,doi,primary_study,Abstract snippet: Chronic pain is becoming increasingly prevalent and burdensome both worldwide and in the United Kingdom. Due to the complexity of chronic pain and the therapeutic challen,Harry Griffiths,abstract_only,Chronic pain,Ketamine,,low,preclinical_study,preclinical,adults with chronic pain,improves clinical symptoms,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; abstract_only,348,2026-03-12T15:16:48.883038+00:00
10.1186/s13063-024-08268-6,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,"Engaging Mood Brain Circuits with Psilocybin (EMBRACE): a study protocol for a randomized, placebo-controlled and delayed-start, neuroimaging trial in depression",table,2024,doi,primary_study,"Abstract snippet: Abstract Background Major depressive disorder (MDD) is a leading cause of disability worldwide across domains of health and cognition, affecting overall quality of life.",Joshua M. Poulin; Gregory E. Bigford; Krista L. Lanctôt; Peter Giacobbe; Ayal Schaffer; Mark Sinyor; Jennifer S. Rabin; Mario Masellis; Amit Singnurkar; Christopher B. Pople,full_text_seen,Major depressive disorder,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with major depressive disorder,reduces depressive symptoms,MADRS,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,353,2026-03-12T15:16:48.883038+00:00
10.1186/s43045-024-00428-3,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Ketamine’s efficacy in alleviating acute suicidal thoughts: a comprehensive systematic review and meta-analysis,mixed,2024,doi,primary_study,"Abstract snippet: Abstract Suicidal ideation in patients with major depressive disorder (MDD) presents a critical challenge in mental health, with conventional antidepressants often having",Seyedeh Asrin Seyedoshohadaei; Ramyar Rahimi Darehbagh; Farshid Gholami; Elham Nouri; Media Babahajiani; Parisa Kohnepoushi; Yousef Moradi; Leila Azizkhani,full_text_seen,Suicidal ideation,Ketamine,,high,randomized_controlled_trial,preclinical,adults with suicidal ideation,improves clinical symptoms,MADRS,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,356,2026-03-12T15:16:48.883038+00:00
10.1192/bjo.2023.53,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Ketamine and psychotherapy for the treatment of psychiatric disorders: systematic review,mixed,2023,doi,primary_study,Abstract snippet: Background Ketamine is an effective short-term treatment for a range of psychiatric disorders. A key question is whether the addition of psychotherapy to ketamine treatme,Bess M. Kew; Richard Porter; Katie M. Douglas; Paul Glue; Charlotte L. Mentzel; Ben Beaglehole,full_text_seen,Treatment-resistant depression,Ketamine,,low,preclinical_study,preclinical,adults with treatment-resistant depression,reduces depressive symptoms,MADRS,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; full_text_seen still points to abstract snippet,358,2026-03-12T15:16:48.883038+00:00
10.1192/bjo.2025.10895,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Psilocybin-assisted psychotherapy for treatment-resistant obsessive–compulsive disorder: protocol for an open-label pilot study,abstract,2025,doi,primary_study,"Abstract snippet: Background Obsessive–compulsive disorder (OCD) is a debilitating mental disorder commonly treated with selective serotonin reuptake inhibitors, atypical antipsychotic aug",Nicole Ledwos; Jenna Baer; Muhammad Ishrat Husain; Daniel M. Blumberger; Rachel Patterson; Elizabeth Hollingdrake; Ezmond S.L. Cheung; Colin Hawco; Christoph Zrenner; Brigitte Zrenner,abstract_only,Obsessive-compulsive disorder,Psilocybin,,medium,open_label_trial,preclinical,adults with obsessive-compulsive disorder,improves clinical symptoms,Y-BOCS,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; abstract_only,359,2026-03-12T15:16:48.883038+00:00
10.1192/j.eurpsy.2025.1415,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Pharmacological treatments for eating disorders – How far are we from new solutions?,text,2025,doi,primary_study,"Abstract snippet: Introduction Eating disorders (EDs) are an important and highly prevalent class of disorders worldwide, with the global lifetime prevalence reaching more than 8% in femal",Victor Voicu; Octavian Vasiliu,full_text_seen,Anorexia nervosa,Psilocybin,,medium,phase_2_trial,preclinical,adults with anorexia nervosa,improves clinical symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; full_text_seen still points to abstract snippet,364,2026-03-12T15:16:48.883038+00:00
10.14710/jai.v0i0.68607,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Comparison of The Effects of Fentanyl versus Ketamine on The Quality of Recovery Post General Anesthesia with QoR-40 Scoring in Laparotomy Surgery,table,2025,doi,primary_study,Abstract snippet: Background: Evaluating recovery after general anesthesia is vital to assess the success of anesthesia procedures. The quality of recovery-40 (QoR-40) questionnaire compre,Irwanda Syahputra; Rr Sinta Irina; Bastian Lubis,full_text_seen,Chronic pain,Ketamine,,high,randomized_controlled_trial,preclinical,adults with chronic pain,improves clinical symptoms,STAI,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,368,2026-03-12T15:16:48.883038+00:00
10.1556/2054.2022.00234,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Registered clinical trials investigating ketamine and esketamine for treatment-resistant depression: A systematic review,abstract,2023,doi,primary_study,Abstract snippet: Abstract Background and Aims Ketamine and esketamine have garnered interest in both psychiatric research and clinical practice for treatment-resistant depression (TRD). I,Madeline Brendle; Anya Ragnhildstveit; Matthew Slayton; Leo Smart; Sarah Cunningham; Mackenzie H. Zimmerman; Paul Seli; Michael S. Gaffrey; Lynnette A. Averill; Reid Robison,abstract_only,Treatment-resistant depression,Ketamine,,high,phase_3_trial,preclinical,,reduces depressive symptoms,MADRS,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,369,2026-03-12T15:16:48.883038+00:00
10.21203/rs.3.rs-3189970/v1,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,“Why would you open someone’s brain up?” Lived experience insights inform a psilocybin-assisted psychotherapy treatment manual for body image disturbance,text,2023,doi,primary_study,"Abstract snippet: Abstract Background: Body Image Disturbance (BID) is the distorted experience of one’s body. BID presents a risk for the onset, maintenance and relapse of body dysmorphic",Claire Finkelstein; Olivia Soha; Alana Roy; Andrea Phillipou; Susan L. Rossell,full_text_seen,Anorexia nervosa,Psilocybin,,low,preclinical_study,preclinical,adults with anorexia nervosa,improves clinical symptoms,Relapse rate,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; full_text_seen still points to abstract snippet,371,2026-03-12T15:16:48.883038+00:00
10.21203/rs.3.rs-3474764/v1,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,"Engaging Mood Brain Circuits with Psilocybin (EMBRACE): a study protocol for a randomized, proof-of-principle, placebo-controlled and crossover, neuroimaging trial in depression",mixed,2023,doi,primary_study,"Abstract snippet: <title>Abstract</title> <bold>Background</bold>: Major Depressive Disorder (MDD) is a leading cause of disability worldwide across domains of health and cognition, affect",Joshua M. Poulin; Gregory E. Bigford; Krista L. Lanctôt; Peter Giacobbe; Ayal Schaffer; Mark Sinyor; Jennifer S. Rabin; Mario Masellis; Amit Singnurkar; Christopher B. Pople,full_text_seen,Major depressive disorder,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with major depressive disorder,reduces depressive symptoms,MADRS,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,373,2026-03-12T15:16:48.883038+00:00
10.2147/NDT.S388764,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Efficacy and Safety of Esketamine Combined with Antidepressants for Treatment-Resistant Depression: A Meta-Analysis,abstract,2022,doi,primary_study,"Abstract snippet: Esketamine + antidepressant has an obvious curative effect in treatment-resistant depression and can rapidly improve depression in patients, quality of life and satisfact",Peng Liu; Shanshan Zhang; Yun Liang; Zijun Gao; Wei Gao; Buhuai Dong,abstract_only,Treatment-resistant depression,S-ketamine,,low,preclinical_study,preclinical,adults with treatment-resistant depression,reduces depressive symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; abstract_only,377,2026-03-12T15:16:48.883038+00:00
10.2147/jpr.s358070,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Efficacy and Safety of Ketamine in the Treatment of Neuropathic Pain: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,abstract,2022,doi,primary_study,"Abstract snippet: There is a statistically significant pain reduction by adding ketamine to the treatment of chronic NP when compared to the standard treatment. However, such pain reductio",José Eduardo Guimarães Pereira; Lucas Ferreira Gomes Pereira; Rafael Mercante Linhares; Carlos Darcy Alves Bersot; Theodoros Aslanidis; Hazem Adel Ashmawi,abstract_only,Chronic pain,Ketamine,,high,randomized_controlled_trial,preclinical,,improves clinical symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,380,2026-03-12T15:16:48.883038+00:00
10.2147/ndt.s403997,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Use of Selective Alternative Therapies for Treatment of OCD,abstract,2023,doi,primary_study,"Abstract snippet: About 40% of the people with the obsessive-compulsive-disorder do not experience the desired outcome after the existing treatment, and its several side effects were repor",Iman Khan; Taimoor Asif Jaura; Alaa Tukruna; Aabiya Arif; Sameer Saleem Tebha; Sameen Nasir; Dattatreya Mukherjee; Nadia Masroor; Abubakr Yosufi,abstract_only,Obsessive-compulsive disorder,Psilocybin,,low,observational_study,preclinical,,improves clinical symptoms,Y-BOCS,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; abstract_only,381,2026-03-12T15:16:48.883038+00:00
10.2196/54406,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Psychotherapy for Ketamine’s Enhanced Durability in Chronic Neuropathic Pain: Protocol for a Pilot Randomized Controlled Trial,abstract,2024,doi,primary_study,"Abstract snippet: Background Chronic pain affects approximately 8 million Canadians (~20%), impacting their physical and mental health while burdening the health care system with costs of",Akash Goel; Bhavya Kapoor; Hillary Chan; Karim S. Ladha; Joel Katz; Hance Clarke; Janneth Pazmino‐Canizares; Zaaria Thomas; Kaylyssa Philip; Gabriella Mattina,abstract_only,Chronic pain,Ketamine,,high,randomized_controlled_trial,preclinical,adults with chronic pain,improves clinical symptoms,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,383,2026-03-12T15:16:48.883038+00:00
10.31083/JIN26766,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Beyond Anesthesia: Ketamine’s Expanding Role in Chronic Pain and Psychiatric Disorders,text,2025,doi,primary_study,"Abstract snippet: Objective: This review explores ketamine’s expanding role in managing both chronic pain and mental health conditions, focusing on its pharmacologic mechanisms, clinical a",Christopher Zaki,full_text_seen,Chronic pain,Ketamine,,high,randomized_controlled_trial,preclinical,adolescents with chronic pain,improves clinical symptoms,STAI,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,385,2026-03-12T15:16:48.883038+00:00
10.31234/osf.io/hmnsw_v1,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Microdosing Psilocybin for Major Depressive Disorder: Study Protocol for a Phase II Double-Blind Placebo-Controlled Randomized Partial Crossover Trial,abstract,2025,doi,primary_study,"Abstract snippet: Background: Major depressive disorder (MDD) is the leading cause of disability worldwide, affecting roughly 322 million people. Recently, doses of psilocybin have shown p",Zeina Beidas; Anya Ragnhildstveit; Adam Blackman; Thomas Anderson; Emily C. Fewster; Omer A. Syed; Valentyne Sobolenko; Ismail Kaan Kanca; Magdalena Jaglinska; Tatiana Son,abstract_only,Major depressive disorder,Psilocybin,,high,randomized_controlled_trial,observational,adults with major depressive disorder,reduces depressive symptoms,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,386,2026-03-12T15:16:48.883038+00:00
10.3389/fpain.2022.1022767,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Efficacy of ketamine for comorbid depression and acute or chronic pain: A systematic review,abstract,2022,doi,primary_study,"Abstract snippet: Pain and depression frequently co-occur. Due to its antidepressant and analgesic properties, ketamine has been used for the management of treatment-resistant depression a",Aksharra Balachandran; Vanessa K. Tassone; Fathima Adamsahib; Anne-Marie Di Passa; Sarah Kuburi; Ilya Demchenko; Karim S. Ladha; Venkat Bhat,abstract_only,Chronic pain,Ketamine,,low,observational_study,preclinical,adults with chronic pain,improves clinical symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; abstract_only,391,2026-03-12T15:16:48.883038+00:00
10.3389/fpsyt.2023.1178529,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,"Safety, tolerability, and clinical and neural effects of single-dose psilocybin in obsessive–compulsive disorder: protocol for a randomized, double-blind, placebo-controlled, non-crossover trial",figure,2023,doi,primary_study,"Abstract snippet: Background Psilocybin may help treat obsessive–compulsive disorder (OCD). To date, only one open-label study of psilocybin for OCD exists, necessitating further investiga",Terence H. W. Ching; Rachael Grazioplene; Calvin Bohner; Stephen A. Kichuk; Giuliana DePalmer; Elizabeth J. D’Amico; Jeffrey Eilbott; Anastasia Jankovsky; Michelle Burke; Jamila Hokanson,full_text_seen,Obsessive-compulsive disorder,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with obsessive-compulsive disorder,improves clinical symptoms,MADRS,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,396,2026-03-12T15:16:48.883038+00:00
